domain,item,status,evidence_level,confirmed_fact,allowed_claim,forbidden_claim,primary_source,next_required_evidence
effort,units,PARTIAL,A/B,"Interface label is N*m","REPORTED_EFFORT_CHANNEL_N_M_LABEL","MEASURED_TORQUE","phase3c_effort_semantics_evidence.md","HAL assignment source and conversion semantics"
effort,physical_semantics,BLOCKED,B,"Measured estimated current-derived commanded or other source is unresolved","EFFORT_SEMANTICS_UNKNOWN","TORQUE_OR_ACTUATOR_CALIBRATION","phase3c_effort_semantics_evidence.md","Source field formula side sign filtering clipping and timing"
mc,internal_joint_reference,BLOCKED,B/C,"MC state and preset state are visible but post-arbitration joint q(t) is not","MC_INTERNAL_COMMAND_UNOBSERVABLE","ACTUATOR_SYSTEM_IDENTIFICATION","phase3c_mc_command_observability.md","Existing read-only post-arbitration joint-reference/debug interface"
contact,clap_expected_wrist_pair,READY,C/D,"Specific wrist pair matches three confirmed real clap closure windows","EXPECTED_TASK_CONTACT for preset 3017 windows only","GLOBAL_SELF_COLLISION_EXEMPTION","phase3bc2_phase3bv_gate_reinterpretation.md","None for this bounded classification"
contact,foot_force_slip_and_penetration,PARTIAL,D,"Simulation proxies exist without real force/contact ground truth","SIMULATION_CONTACT_PROXY","PHYSICAL_CONTACT_CALIBRATED","phase2e_phase2f_final_report.md; phase3c_evidence_matrix.csv","Force plate or foot wrench contact state and external slip measurement"
timing,command_state_latency,BLOCKED,C,"Receive-monotonic alignment is reproducible but source/receive clocks are not proven synchronized","OUTPUT_RESPONSE_TIMING_CANDIDATE","ACTUATOR_DELAY_IDENTIFIED","phase2d_capture_quality_report.md","Synchronized command state and host clocks with measured transport latency"
actuation,gear_torque_limits_and_dynamics,BLOCKED,E,"MJCF values are unvalidated model values","SIMULATION_ACTUATOR_LIMITS","REAL_GEAR_TORQUE_LIMIT_DAMPING_FRICTION","phase1_report.md; phase2h_dynamics_gate.md","Manufacturer data plus semantically closed torque/current observations"
gate,position_space_physical_direction,READY,D,"Cross-motion magnitude-direction result is validated","POSITION_SPACE_PHYSICAL_DIRECTION_VALIDATED=YES","EXACT_PHYSICAL_PARAMETER_IDENTIFIED","phase3bv_final_gate.md; phase3c_final_gate.md","No evidence needed to preserve this limited result"
gate,evidence_backed_physical_update,BLOCKED,A/B/C,"Required physical parameter evidence is not closed","EVIDENCE_BACKED_PHYSICAL_MODEL_UPDATE_READY=NO","CALIBRATED_MJCF","phase3c_final_gate.md","Close parameter-specific physical evidence gates"
gate,dynamics_calibration,BLOCKED,A/B/C,"Sign zero IMU effort mass/inertia and command observability remain incomplete","DYNAMICS_CALIBRATION_READY=NO","FULL_DYNAMICS_CALIBRATION_READY","phase2h_dynamics_gate.md; phase3c_final_gate.md","Close all applicable gates for declared calibration scope"

